"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x3d6c2c6a7fcf037ea23f77e965aaf86cc12d18b763472afc4494ad96be565389","15603219","1664022503","2022-09-24 12:28:23","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","3,924.413888888888888889","$198.84","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x3ac108922626eb21d120e25e4a9b9d5f348b7762f82459422d9b4e5a1c245265","15623899","1664272115","2022-09-27 09:48:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","11,602.402777777777777778","$526.97","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x505d04affa89e1397d03dd2af75ccf60eb83adec1e14a92c7f8912d35ecb90d9","15641937","1664490047","2022-09-29 22:20:47","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xaadd396a495f6ba70322a7e414cbf792e7003274","562.230630555555555556","$22.41","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x26ba9d7dc4ebf58c1b13c03998663f2f83aa771ba49d11dbd163ef2ea26e8eb4","15695244","1665133847","2022-10-07 09:10:47","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","10,971.125","$485.78","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xdb427559a2bf20f9db70fd2b4e14a05ad85c2f52af01cf54f89aa5a3fe9452e0","15702789","1665225083","2022-10-08 10:31:23","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","2,332.430364930555555556","$106.13","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xaf60d57b41e5d70dabd6e18cf3ee23d6e53ea7f20f97dda2ea23cc5f816ae4c9","15744908","1665733103","2022-10-14 07:38:23","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","7,629.416666666666666667","$302.33","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x0e3a42d7518bc35b7bf82f1daea18c0eba6f040b399f5154b5e94dcf378d3cc4","15752564","1665825431","2022-10-15 09:17:11","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,164.120979340277777777","$46.29","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xd07af6bdac77e990c8b29d850b3a8212306daff027bde251474e834f253f6f99","15831415","1666777295","2022-10-26 09:41:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","13,294.111111111111111111","$438.26","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xf3c9f395b0caf19dc20e254cb6a4fdda4e2422e9e01a5ad47e5341395f4e735c","15845444","1666946687","2022-10-28 08:44:47","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","7,107.391666666666666666","$228.73","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x36727cbd9dd10f368c0961e0d22e4e921f72f69de512c286f6f72e2253191753","15860454","1667127803","2022-10-30 11:03:23","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","2,525.3995484375","$84.06","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
